Date : 2022-04-27 21:26:25
Directory : /Users/AmitBoost/Desktop/Programming/reminderApp/backend
Total : 149 files,  77911 codes, 20324 comments, 15254 blanks, all 113489 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         75 |     48,217 |          0 |          2 |     48,219 |
| JavaScript         |         49 |     26,418 |     20,020 |     14,876 |     61,314 |
| TypeScript         |         22 |      2,152 |        133 |        151 |      2,436 |
| GraphQL            |          1 |      1,102 |        171 |        224 |      1,497 |
| JSON with Comments |          2 |         22 |          0 |          1 |         23 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |        149 |     77,911 |     20,324 |     15,254 |    113,489 |
| .keystone                                                                                                                                    |        126 |     28,768 |     20,193 |     15,186 |     64,147 |
| .keystone/admin                                                                                                                              |        124 |     26,563 |     20,022 |     14,878 |     61,463 |
| .keystone/admin/.next                                                                                                                        |        101 |     26,183 |     20,018 |     14,814 |     61,015 |
| .keystone/admin/.next/cache                                                                                                                  |         61 |         61 |          0 |          0 |         61 |
| .keystone/admin/.next/cache/next-babel-loader                                                                                                |         61 |         61 |          0 |          0 |         61 |
| .keystone/admin/.next/server                                                                                                                 |         13 |      1,260 |        548 |        286 |      2,094 |
| .keystone/admin/.next/server/pages                                                                                                           |          9 |      1,086 |        505 |        276 |      1,867 |
| .keystone/admin/.next/server/pages/next                                                                                                      |          1 |         95 |         33 |         13 |        141 |
| .keystone/admin/.next/server/pages/next/dist                                                                                                 |          1 |         95 |         33 |         13 |        141 |
| .keystone/admin/.next/server/pages/next/dist/pages                                                                                           |          1 |         95 |         33 |         13 |        141 |
| .keystone/admin/.next/static                                                                                                                 |         25 |     24,815 |     19,470 |     14,528 |     58,813 |
| .keystone/admin/.next/static/chunks                                                                                                          |         14 |     24,804 |     19,470 |     14,528 |     58,802 |
| .keystone/admin/.next/static/chunks/pages                                                                                                    |          8 |     22,681 |     18,404 |     13,791 |     54,876 |
| .keystone/admin/.next/static/chunks/pages/next                                                                                               |          1 |        130 |        116 |         88 |        334 |
| .keystone/admin/.next/static/chunks/pages/next/dist                                                                                          |          1 |        130 |        116 |         88 |        334 |
| .keystone/admin/.next/static/chunks/pages/next/dist/pages                                                                                    |          1 |        130 |        116 |         88 |        334 |
| .keystone/admin/.next/static/development                                                                                                     |          2 |          2 |          0 |          0 |          2 |
| .keystone/admin/.next/static/webpack                                                                                                         |          9 |          9 |          0 |          0 |          9 |
| .keystone/admin/pages                                                                                                                        |         20 |        358 |          0 |         61 |        419 |
| .keystone/admin/pages/api                                                                                                                    |          1 |          4 |          0 |          1 |          5 |
| .keystone/admin/pages/cart-items                                                                                                             |          2 |         10 |          0 |          6 |         16 |
| .keystone/admin/pages/memberships                                                                                                            |          2 |         10 |          0 |          6 |         16 |
| .keystone/admin/pages/order-items                                                                                                            |          2 |         10 |          0 |          6 |         16 |
| .keystone/admin/pages/orders                                                                                                                 |          2 |         10 |          0 |          6 |         16 |
| .keystone/admin/pages/reminders                                                                                                              |          2 |         10 |          0 |          6 |         16 |
| .keystone/admin/pages/roles                                                                                                                  |          2 |         10 |          0 |          6 |         16 |
| .keystone/admin/pages/users                                                                                                                  |          2 |         10 |          0 |          6 |         16 |
| lib                                                                                                                                          |          4 |         60 |          2 |         12 |         74 |
| mutations                                                                                                                                    |          3 |        147 |         18 |         11 |        176 |
| schemas                                                                                                                                      |          8 |        270 |         10 |         18 |        298 |
| seed-data                                                                                                                                    |          2 |        421 |         74 |          5 |        500 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                     | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/build-manifest.json                                           | JSON               |         39 |          0 |          0 |         39 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/00eb83dff7fb29df3badef5a4d5431f4.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/01c8123530a88b611390827e02b1444c.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/01fedd424f347616a03c72dee0b61659.json | JSON               |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/081d7e322630739ded214320678de1e7.json | JSON               |          1 |          0 |          0 |          1 |
